SvyDate,EnuPartner,EnuSupervisorName,EnuName,EnuSex,ADMIN0Name,ADMIN1Name,ADMIN2Name,ADMIN3Name,ADMIN4Name,RESPConsent,HHAsstActivityCRF/1,HHAsstActivityCRF/2,HHAsstActivityCRF/3,HHAsstActivityCRF/4,HHAsstActivityCRF/5,HHAsstActivityCRF/6,HHAsstActivityCRF/7,HHAsstActivityCRF/8,HHAsstActivityCRF/9,HHAsstActivityCRF/11,HHAsstModeLast/1,HHAsstModeLast/2,HHAsstModeLast/3,HHAsstModeLast/4,HHAsstModeLast/5,HHAsstModeLast/6,HHAsstModeLast/999,HHAsstModeLast_oth,HHAsstCashMode/1,HHAsstCashMode/2,HHAsstCashMode/4,HHAsstCashMode/5,HHAsstCashMode/6,HHAsstCashMode/7,HHAsstCashMode/8,HHAsstCashMode/999,HHAsstCashMode_oth,PAsstWFPRecCashYN1Y,PAsstWFPRecInKindYN1Y,PAsstWFPRecCapBuildYN1Y,HHClimAsst,HHClimAsstProg,HHClimSvyType,HHClimNbFollowUp,HHClimCommunity,HHClimCurrency,HHSize,GPS,_GPS_latitude,_GPS_longitude,_GPS_altitude,_GPS_precision,UniqueIdentifier,RESPName,RESPLastName,RESPAge,RESPSex,RESPRelationHHH,RESPRelationHHH_oth,HHHAge,HHHSex,HHHStatus,HHID,HHSize01M,HHSize01F,HHSize24M,HHSize24F,HHSize511M,HHSize511F,HHSize1217M,HHSize1217F,HHSize1859M,HHSize1859F,HHSize60AboveM,HHSize60AboveF,HHFemaleCalc,HHMaleCalc,HHSizeCalc,FreeResp,CallBack,EnuComments,CallBestH,phonenum_1,HHShocksYN,HHShocksType,HHCRCSFloods,HHCRCSDroughts,HHCRCSWildFire,HHCRCSHeatWave,HHCRCSStorms,HHCRCSPrepared,HHCRCSBounceBack,HHCRCSIncSrcChange,HHCRCSGetBy,HHCRCSFinSupport,HHCRCSFamSupp,HHCRCSGocSupp,HHCRCSLesson,HHCRCSInfoWarning,HHCRCSfirststep_sum,HHCRCSsecondstep_divide9,HHCRCSthirdstep_moins1,HHCRCScrcs_excel,HHCRCScrcs_excel_category,HHCRCSanticipatory_capacity_excel,HHCRCScategory_anticipatory_capacity_excel,HHCRCSabsorptive_capacity_excel,HHCRCScategory_absorptive_capacity_excel,HHCRCStransform_capacity_excel,HHCRCScategory_transform_capacity_excel,HHCRCSadaptive_capacity_excel,HHCRCScategory_adaptive_capacity_excel,HHSEINew_SEIFPrice,HHSEINew_SEIFPrice_Imp,HHSEINew_SEICost,HHSEINew_SEICost_Imp,HHSEINew_SEIElec,HHSEINew_SEIElec_Imp,HHSEINew_SEIWater,HHSEINew_SEIWater_Imp,HHSEINew_SEIRemit,HHSEINew_SEIRemit_Imp,HHSEINew_SEIUnemp,HHSEINew_SEIUnemp_Imp,HHSEINew_SEILowPrice,HHSEINew_SEILowPrice_Imp,HHSEINew_SEILowWage,HHSEINew_SEILowWage_Imp,HHSEINew_SEIHouse,HHSEINew_SEIHouse_Imp,HHSEINew_SEIConflict,HHSEINew_SEIConflict_Imp,HHSEINew_SEIInstab,HHSEINew_SEIInstab_Imp,HHSEINew_SEIMovement,HHSEINew_SEIMovement_Imp,HHSEINew_SEIDispl,HHSEINew_SEIDispl_Imp,HHSEINew_SEIGender,HHSEINew_SEIGender_Imp,HHSEINew_SEIDiscr,HHSEINew_SEIDiscr_Imp,HHSEINew_SEIRaid,HHSEINew_SEIRaid_Imp,HHSEINew_SEICropDis,HHSEINew_SEICropDis_Imp,HHSEINew_SEILiveDis,HHSEINew_SEILiveDis_Imp,HHSEINew_SEIHumDis,HHSEINew_SEIHumDis_Imp,HHSEINew_SEIFarmLoss,HHSEINew_SEIFarmLoss_Imp,HHSEINew_SEITheft,HHSEINew_SEITheft_Imp,HHSEINew_SEIHouseLoss,HHSEINew_SEIHouseLoss_Imp,HHSEINew_SEIAsst,HHSEINew_SEIAsst_Imp,HHRCSBounce,HHRCSRevenue,HHRCSIncrease,HHRCSFinAccess,HHRCSSupportCommunity,HHRCSSupportPublic,HHRCSLessonsLearnt,HHRCSFutureChallenge,HHRCSWarningAccess,HHRCSfirststep_sum,HHRCSsecondstep_divide9,HHRCSthirdstep_moins1,HHRCSrcs_excel,HHRCSrcs_excel_category,HHRCSanticipatory_capacity_excel,HHRCScategory_anticipatory_capacity_excel,HHRCSabsorptive_capacity_excel,HHRCScategory_absorptive_capacity_excel,HHRCStransform_capacity_excel,HHRCScategory_transform_capacity_excel,HHRCSadaptive_capacity_excel,HHRCScategory_adaptive_capacity_excel,HHC_RCS_excel,HHC_RCS_excel_category,HHC_RCSanticipatory_capacity_excel,HHC_RCScategory_anticipatory_capacity_excel,HHC_RCSabsorptive_capacity_excel,HHC_RCScategory_absorptive_capacity_excel,HHC_RCStransform_capacity_excel,HHC_RCScategory_transform_capacity_excel,HHC_RCSadaptive_capacity_excel,HHC_RCScategory_adaptive_capacity_excel,start,end,today,deviceid,instanceID,_id,_uuid,_submission_time,_date_modified,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_media_all_received,_xform_id
2026-04-15,n/a,n/a,1,0,1,n/a,n/a,n/a,n/a,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,n/a,True,False,False,False,False,False,False,False,n/a,1,0,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,24,0,100,n/a,24,0,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,n/a,n/a,n/a,n/a,n/a,1,1,9999,3,3,3,9999,5,5,5,5,5,5,5,5,5,45,5,4,100,C-high,100,C-high,100,C-high,100,C-high,100,C-high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,C-high,100,C-high,100,C-high,100,C-high,100,C-high,2026-04-15T16:10:16.355+02:00,2026-04-15T16:11:06.146+02:00,2026-04-15,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:aed0257d-cc15-4aaf-999c-54e2b5d9c993,87194781,aed0257d-cc15-4aaf-999c-54e2b5d9c993,2026-04-15T14:11:06.516859+00:00,2026-04-15T14:11:06.584113+00:00,,,202604151410,50.0,laramoreschi,0,0,True,378289
2026-04-15,n/a,n/a,1,1,1,n/a,n/a,n/a,n/a,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,56,1,100,n/a,56,1,300,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,n/a,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,3,1,3,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,1,1,1,1,1,1,1,1,1,9,1,0,0,A-low,0,A-low,0,A-low,0,A-low,0,A-low,0,A-low,0,A-low,0,A-low,0,A-low,0,A-low,2026-04-15T16:11:06.205+02:00,2026-04-15T16:12:20.906+02:00,2026-04-15,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:381fd2b9-59b5-4d0d-89cd-dbb81885ae67,87194855,381fd2b9-59b5-4d0d-89cd-dbb81885ae67,2026-04-15T14:12:21.326029+00:00,2026-04-15T14:12:21.384197+00:00,,,202604151410,74.0,laramoreschi,0,0,True,378289
2026-04-15,n/a,n/a,1,0,1,n/a,n/a,n/a,n/a,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27,0,100,n/a,27,0,300,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,n/a,n/a,n/a,n/a,n/a,1,1,3,9999,9999,9999,3,1,1,2,3,3,4,4,4,2,24,2.6666666666666665,1.6666666666666665,41.666666666666664,B-medium,0,A-low,0,A-low,25,A-low,50,B-medium,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,41.666666666666664,B-medium,0,A-low,0,A-low,25,A-low,50,B-medium,2026-04-15T16:12:20.935+02:00,2026-04-15T16:18:20.881+02:00,2026-04-15,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:4244034a-3562-463f-82d5-c974eb4984be,87195155,4244034a-3562-463f-82d5-c974eb4984be,2026-04-15T14:18:21.292989+00:00,2026-04-15T14:18:21.347815+00:00,,,202604151410,360.0,laramoreschi,0,0,True,378289
2026-04-15,n/a,n/a,1,0,1,n/a,n/a,n/a,n/a,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,58,1,100,n/a,58,1,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NA,n/a,NA,n/a,NA,n/a,NA,n/a,NA,2026-04-15T16:18:20.906+02:00,2026-04-15T16:19:00.624+02:00,2026-04-15,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:ff6d972e-e49c-41cc-8db2-3b50d666f3a5,87195164,ff6d972e-e49c-41cc-8db2-3b50d666f3a5,2026-04-15T14:19:00.934980+00:00,2026-04-15T14:19:00.991636+00:00,,,202604151410,40.0,laramoreschi,0,0,True,378289
2026-04-15,1,1,1,1,1,1,1,1,1,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,n/a,False,False,False,False,True,False,False,False,n/a,1,0,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70,0,100,n/a,70,0,300,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,n/a,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,1,3,1,2,1,3,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,2,2,3,4,4,5,2,2,1,25,2.7777777777777777,1.7777777777777777,44.44444444444444,B-medium,25,A-low,25,A-low,25,A-low,50,B-medium,44.44444444444444,B-medium,25,A-low,25,A-low,25,A-low,50,B-medium,2026-04-15T16:19:00.650+02:00,2026-04-15T16:20:37.583+02:00,2026-04-15,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:6c24f955-2334-4d0d-86b8-007e2def4fa4,87195272,6c24f955-2334-4d0d-86b8-007e2def4fa4,2026-04-15T14:20:37.988230+00:00,2026-04-15T14:20:38.048039+00:00,,,202604151410,97.0,laramoreschi,0,0,True,378289
2026-04-15,1,1,1,0,1,1,1,1,1,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48,0,100,n/a,48,0,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,n/a,n/a,n/a,n/a,n/a,1,1,9999,3,1,3,9999,4,4,4,4,5,5,2,4,2,34,3.7777777777777777,2.7777777777777777,69.44444444444444,C-high,75,C-high,75,C-high,75,C-high,75,C-high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,69.44444444444444,C-high,75,C-high,75,C-high,75,C-high,75,C-high,2026-04-15T16:20:37.610+02:00,2026-04-15T16:21:52.276+02:00,2026-04-15,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:e3454f8e-9e30-4e98-ae35-23376f998312,87195431,e3454f8e-9e30-4e98-ae35-23376f998312,2026-04-15T14:21:52.664042+00:00,2026-04-15T14:21:52.727547+00:00,,,202604151410,75.0,laramoreschi,0,0,True,378289
2026-04-15,1,1,1,1,1,1,1,1,1,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,n/a,True,False,False,False,False,False,False,False,n/a,1,0,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,34,1,100,n/a,34,1,200,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,n/a,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,1,3,1,3,1,3,1,3,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,1,3,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,1,1,1,3,3,3,2,1,1,16,1.7777777777777777,0.7777777777777777,19.444444444444443,A-low,0,A-low,0,A-low,0,A-low,0,A-low,19.444444444444443,A-low,0,A-low,0,A-low,0,A-low,0,A-low,2026-04-15T16:21:52.301+02:00,2026-04-15T16:23:42.041+02:00,2026-04-15,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:d2701e74-cfb7-404b-ba36-6f8792acddab,87195480,d2701e74-cfb7-404b-ba36-6f8792acddab,2026-04-15T14:23:42.432277+00:00,2026-04-15T14:23:42.486824+00:00,,,202604151410,110.0,laramoreschi,0,0,True,378289
2026-04-15,1,1,1,0,1,1,1,1,1,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21,1,100,n/a,21,1,300,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,n/a,n/a,n/a,n/a,n/a,1,1,3,9999,9999,9999,1,3,3,2,2,3,4,2,2,2,23,2.5555555555555554,1.5555555555555554,38.888888888888886,B-medium,50,B-medium,50,B-medium,25,A-low,25,A-low,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,38.888888888888886,B-medium,50,B-medium,50,B-medium,25,A-low,25,A-low,2026-04-15T16:23:42.072+02:00,2026-04-15T16:24:52.738+02:00,2026-04-15,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:f2f71c5d-73b0-4954-bd39-f1560b973e5b,87195509,f2f71c5d-73b0-4954-bd39-f1560b973e5b,2026-04-15T14:24:53.189987+00:00,2026-04-15T14:24:53.241856+00:00,,,202604151410,70.0,laramoreschi,0,0,True,378289
2026-04-15,1,1,1,0,1,1,1,1,1,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,59,0,100,n/a,58,0,300,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,n/a,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,0,n/a,0,n/a,0,n/a,1,3,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,1,2,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,2,2,4,4,4,2,4,2,2,26,2.888888888888889,1.8888888888888888,47.22222222222222,B-medium,25,A-low,25,A-low,25,A-low,75,C-high,47.22222222222222,B-medium,25,A-low,25,A-low,25,A-low,75,C-high,2026-04-15T16:24:52.796+02:00,2026-04-15T16:26:22.072+02:00,2026-04-15,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:6a831f34-6b44-4a60-8ca4-18895052139d,87195548,6a831f34-6b44-4a60-8ca4-18895052139d,2026-04-15T14:26:22.667122+00:00,2026-04-15T14:26:22.732089+00:00,,,202604151410,90.0,laramoreschi,0,0,True,378289
2026-04-15,1,1,1,1,1,1,1,1,1,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,37,0,100,n/a,37,0,400,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,n/a,n/a,n/a,n/a,n/a,1,1,2,1,1,9999,9999,4,4,3,4,4,5,5,4,4,37,4.111111111111111,3.1111111111111107,77.77777777777777,C-high,75,C-high,75,C-high,50,B-medium,75,C-high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,77.77777777777777,C-high,75,C-high,75,C-high,50,B-medium,75,C-high,2026-04-15T16:26:22.100+02:00,2026-04-15T16:27:30.877+02:00,2026-04-15,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:edad3acc-777f-4919-a1bc-f898f9cc5f97,87195577,edad3acc-777f-4919-a1bc-f898f9cc5f97,2026-04-15T14:27:31.346501+00:00,2026-04-15T14:27:31.404262+00:00,,,202604151410,68.0,laramoreschi,0,0,True,378289
