SvyDate,EnuName,EnuSupervisorName,EnuPartner,EnuSex,Country,State_province,City,ADMIN0Name,ADMIN1Name,ADMIN2Name,ADMIN3Name,ADMIN4Name,ADMIN5Name,Settlement,HHCoord,_HHCoord_latitude,_HHCoord_longitude,_HHCoord_altitude,_HHCoord_precision,RESPConsent,HHAsstActivityCRF/1,HHAsstActivityCRF/2,HHAsstActivityCRF/3,HHAsstActivityCRF/4,HHAsstActivityCRF/5,HHAsstActivityCRF/6,HHAsstActivityCRF/7,HHAsstActivityCRF/8,HHAsstActivityCRF/9,HHAsstActivityCRF/11,HHAsstModeLast/1,HHAsstModeLast/2,HHAsstModeLast/3,HHAsstModeLast/4,HHAsstModeLast/5,HHAsstModeLast/6,HHAsstModeLast/999,HHAsstModeLast_oth,HHAsstCashMode/2,HHAsstCashMode/4,HHAsstCashMode/5,HHAsstCashMode/6,HHAsstCashMode/7,HHAsstCashMode/8,HHAsstCashMode/999,HHAsstCashMode_oth,PAsstWFPRecCashYN1Y,PAsstWFPRecInKindYN1Y,PAsstWFPRecCapBuildYN1Y,HHAsstIKLast,HAsstCashWeeksLast,RESPName,RESPLastName,RESPAge,RESPSex,RESPRelationHHH,RESPRelationHHH_oth,HHID,HHHSex,HHHAge,HHHStatus,HHSize01M,HHSize01F,HHSize24M,HHSize24F,HHSize511M,HHSize511F,HHSize1217M,HHSize1217F,HHSize1859M,HHSize1859F,HHSize60AboveM,HHSize60AboveF,HHFemaleCalc,HHMaleCalc,HHSizeCalc,HHAffectedClimate,HHAffectedClimNote,HHClimFloods,HHLowFloods,HHMedFloods,HHHighFloods,HHClimDroughts,HHLowDroughts,HHMedDroughts,HHHighDroughts,HHStorms,HHLowStorms,HHMedStorms,HHHighStorms,HHHeatWave,HHLowHeatWave,HHMedHeatWave,HHHighHeatWave,HHWildFire,HHLowWildFire,HHMedWildFire,HHHighWildFire,HHMontAffectedShocks,HHAffFloods,HHAffDroughts,HHAffStorms,HHAffHeatwaves,HHAffWildFire,TotalFloods,TotalDroughts,TotalStorms,TotalHeatWave,TotalWildFire,TotalLowLevel,TotalMediumLevel,TotalHighLevel,TotalShocks,HHSEINew_SEISlides,HHSEINew_SEIVolcano,HHSEINew_SEIFPrice,HHSEINew_SEICost,HHSEINew_SEIElec,HHSEINew_SEIWater,HHSEINew_SEIRemit,HHSEINew_SEIUnemp,HHSEINew_SEILowPrice,HHSEINew_SEILowWage,HHSEINew_SEIHouse,HHSEINew_SEIConflict,HHSEINew_SEIInstab,HHSEINew_SEIMovement,HHSEINew_SEIDispl,HHSEINew_SEIGender,HHSEINew_SEIDiscr,HHSEINew_SEIRaid,HHSEINew_SEICropDis,HHSEINew_SEILiveDis,HHSEINew_SEIHumDis,HHSEINew_SEIFarmLoss,HHSEINew_SEITheft,HHSEINew_SEIHouseLoss,HHSEINew_SEIAsst,FCSStap,FCSPulse,FCSDairy,FCSPr,FCSVeg,FCSFruit,FCSFat,FCSSugar,FCSCond,rCSILessQlty,rCSIBorrow,rCSIMealSize,rCSIMealAdult,rCSIMealNb,Lcs_stress_DomAsset,Lcs_stress_Saving,Lcs_stress_EatOut,Lcs_stress_BorrowCash,Lcs_stress_Pawn,Lcs_stress_LessSchool,Lcs_stress_DomMigration,Lcs_stress_HHSeparation,Lcs_stress_ConsActive,Lcs_stress_Housing,Lcs_stress_Utilities,Lcs_stress_SellFoodRation,Lcs_crisis_ProdAssets,Lcs_crisis_Health,Lcs_crisis_Edu,Lcs_crisis_Housing,Lcs_crisis_HHSeparation,Lcs_crisis_ChildWork,Lcs_crisis_Marriage,Lcs_crisis_Migration,Lcs_crisis_ConsActive,Lcs_crisis_OutSchool,Lcs_crisis_Barter,Lcs_crisis_Utilities,Lcs_em_OutSchool,Lcs_em_Migration,Lcs_em_ChildWork,Lcs_em_Marriage,Lcs_em_ResAsset,Lcs_em_Begged,Lcs_em_IllegalAct,Lcs_em_ChildMigration,Lcs_crisis_DomMigration,Lcs_stress_SellNFIRation,Lcs_stress_Edu,LcsR_stress_Animals,LcsR_stress_BorrowCash,LcsR_stress_Pawn,LcsR_stress_DomAsset,LcsR_stress_EatOut,LcsR_stress_LessSchool,LcsR_stress_Saving,LcsR_stress_HHSeparation,LcsR_stress_ConsActive,LcsR_stress_SellFoodRation,LcsR_stress_DomMigration,LcsR_stress_Housing,LcsR_crisis_Animals,LcsR_crisis_ImmCrops,LcsR_crisis_AgriCare,LcsR_crisis_Health,LcsR_crisis_Seed,LcsR_crisis_Edu,LcsR_crisis_ProdAssets,LcsR_crisis_Housing,LcsR_crisis_HHSeparation,LcsR_crisis_Barter,LcsR_crisis_Migration,LcsR_crisis_ChildWork,LcsR_crisis_Marriage,LcsR_crisis_ConsActive,LcsR_crisis_OutSchool,LcsR_em_Seed,LcsR_em_FemAnimal,LcsR_em_OutSchool,LcsR_em_Migration,LcsR_em_ChildWork,LcsR_em_Marriage,LcsR_em_ResAsset,LcsR_em_Begged,LcsR_em_IllegalAct,LcsR_em_ChildMigration,LcsR_em_WildFood,LcsR_stress_SellNFIRation,LcsR_crisis_DomMigration,LcsR_stress_Edu,FreeResp,Comments,CallBack,CallBestH,phonenum_1,start,end,today,deviceid,instanceID,_id,_uuid,_submission_time,_date_modified,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_media_all_received,_xform_id
2026-04-16,1,1,0,0,n/a,n/a,n/a,1,1,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,n/a,True,False,False,False,False,False,False,n/a,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,1,n/a,3,n/a,n/a,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,5,2,3,0,0,0,4,0,4,5,3,2,1,5,20,30,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,n/a,n/a,n/a,n/a,n/a,2026-04-16T10:15:13.241+02:00,2026-04-16T10:19:32.264+02:00,2026-04-16,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:99271412-a7e0-4b7e-b8c8-484430e9f56a,87243543,99271412-a7e0-4b7e-b8c8-484430e9f56a,2026-04-16T08:19:32.596033+00:00,2026-04-16T08:19:32.678864+00:00,,,202604160815,259.0,laramoreschi,0,0,True,378719
2026-04-16,1,1,0,0,n/a,n/a,n/a,1,1,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,n/a,False,False,False,True,False,False,False,n/a,1,0,1,n/a,n/a,n/a,n/a,n/a,0,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,7,4,0,0,7,4,4,1,6,6,10,10,10,10,30,30,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,n/a,n/a,n/a,n/a,n/a,2026-04-16T10:19:32.313+02:00,2026-04-16T11:30:57.923+02:00,2026-04-16,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:74260578-31b3-4f21-b4b3-0e6073ce4dbf,87249817,74260578-31b3-4f21-b4b3-0e6073ce4dbf,2026-04-16T09:30:58.278653+00:00,2026-04-16T09:30:58.356621+00:00,,,202604160815,4285.0,laramoreschi,0,0,True,378719
2026-04-16,1,1,0,1,n/a,n/a,n/a,1,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,1,n/a,n/a,n/a,n/a,n/a,0,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,1,n/a,0,n/a,n/a,n/a,3,n/a,n/a,3,0,n/a,n/a,n/a,1,0,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,4,n/a,1,n/a,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,7,5,2,0,6,6,6,0,6,1,2,3,2,2,30,30,30,10,20,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,n/a,n/a,n/a,n/a,n/a,2026-04-16T11:30:57.970+02:00,2026-04-16T11:34:24.199+02:00,2026-04-16,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:33de65b7-0402-4a35-80f8-9e5f36dfdbb3,87250019,33de65b7-0402-4a35-80f8-9e5f36dfdbb3,2026-04-16T09:34:24.653019+00:00,2026-04-16T09:34:24.724518+00:00,,,202604160815,207.0,laramoreschi,0,0,True,378719
2026-04-16,1,1,0,1,n/a,n/a,n/a,1,1,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,1,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,n/a,True,False,False,False,False,False,False,n/a,1,0,1,n/a,n/a,n/a,n/a,n/a,0,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,7,7,7,6,3,0,0,0,0,0,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,n/a,n/a,n/a,n/a,n/a,2026-04-16T11:34:24.248+02:00,2026-04-16T11:37:34.964+02:00,2026-04-16,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:117f7e60-66ed-4286-9cee-54b8cca8c98c,87250407,117f7e60-66ed-4286-9cee-54b8cca8c98c,2026-04-16T09:37:35.321893+00:00,2026-04-16T09:37:35.396426+00:00,,,202604160815,190.0,laramoreschi,0,0,True,378719
2026-04-16,1,1,0,1,n/a,n/a,n/a,1,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,1,n/a,3,n/a,n/a,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,5,5,7,7,7,3,3,2,0,0,10,30,30,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,n/a,n/a,n/a,n/a,n/a,2026-04-16T11:37:35.009+02:00,2026-04-16T11:42:19.284+02:00,2026-04-16,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:c73a15c8-d0ec-4c71-b33e-92e3178a4394,87250927,c73a15c8-d0ec-4c71-b33e-92e3178a4394,2026-04-16T09:42:19.638371+00:00,2026-04-16T09:42:19.706571+00:00,,,202604160815,284.0,laramoreschi,0,0,True,378719
2026-04-16,1,1,0,1,n/a,n/a,n/a,1,1,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,1,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,n/a,False,False,False,True,False,False,False,n/a,1,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,5,4,3,7,3,7,0,7,5,3,6,4,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,30,30,30,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,n/a,n/a,n/a,n/a,n/a,2026-04-16T11:42:19.334+02:00,2026-04-16T11:46:01.395+02:00,2026-04-16,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:f2b758de-7ba6-4dec-aadf-daa9cc7c8fae,87251266,f2b758de-7ba6-4dec-aadf-daa9cc7c8fae,2026-04-16T09:46:01.785099+00:00,2026-04-16T09:46:01.959642+00:00,,,202604160815,222.0,laramoreschi,0,0,True,378719
2026-04-16,1,1,0,1,n/a,n/a,n/a,1,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,n/a,True,False,False,False,False,False,False,n/a,1,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,1,n/a,0,n/a,n/a,n/a,3,n/a,n/a,1,0,n/a,n/a,n/a,2,n/a,1,n/a,2,n/a,3,n/a,n/a,n/a,2,n/a,4,2,0,1,0,1,3,0,4,1,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,1,7,7,7,0,7,7,7,7,0,0,10,30,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,n/a,n/a,n/a,n/a,n/a,2026-04-16T11:46:01.452+02:00,2026-04-16T11:49:21.292+02:00,2026-04-16,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:664e14dc-454a-46f1-b228-cf2b5410a0d5,87251354,664e14dc-454a-46f1-b228-cf2b5410a0d5,2026-04-16T09:49:21.621714+00:00,2026-04-16T09:49:21.689461+00:00,,,202604160815,200.0,laramoreschi,0,0,True,378719
2026-04-16,1,1,0,0,n/a,n/a,n/a,1,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,4,2,2,0,7,7,4,5,2,1,30,10,10,10,10,30,10,10,30,30,10,10,30,10,30,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,n/a,n/a,n/a,n/a,n/a,2026-04-16T11:49:21.332+02:00,2026-04-16T11:53:05.960+02:00,2026-04-16,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:59d5254a-98fe-4f71-98cc-fd0a8f07025c,87251611,59d5254a-98fe-4f71-98cc-fd0a8f07025c,2026-04-16T09:53:06.362100+00:00,2026-04-16T09:53:06.430408+00:00,,,202604160815,224.0,laramoreschi,0,0,True,378719
2026-04-16,1,1,0,0,n/a,n/a,n/a,1,1,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,n/a,False,False,False,True,False,False,False,n/a,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,1,n/a,0,n/a,n/a,n/a,0,n/a,n/a,n/a,3,n/a,n/a,4,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,4,1,1,2,2,5,3,7,7,7,7,7,7,30,30,30,30,30,30,30,30,10,20,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,n/a,n/a,n/a,n/a,n/a,2026-04-16T11:53:06.019+02:00,2026-04-16T11:56:12.721+02:00,2026-04-16,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:37e08031-17f1-450a-bca0-227bf4b0360c,87252043,37e08031-17f1-450a-bca0-227bf4b0360c,2026-04-16T09:56:13.102551+00:00,2026-04-16T09:56:13.172801+00:00,,,202604160815,186.0,laramoreschi,0,0,True,378719
2026-04-16,1,1,0,1,n/a,n/a,n/a,1,1,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NaN,NaN,NaN,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,4,3,1,5,7,7,7,7,4,5,4,7,7,10,10,10,10,10,10,10,10,30,30,30,20,10,10,30,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,n/a,n/a,n/a,n/a,n/a,2026-04-16T11:56:12.786+02:00,2026-04-16T12:03:03.758+02:00,2026-04-16,enketo.moda.wfp.org:BeSprloRH5uN3TeG,uuid:20c37617-9715-479f-a349-68c85db21fd9,87252641,20c37617-9715-479f-a349-68c85db21fd9,2026-04-16T10:03:04.161209+00:00,2026-04-16T10:03:04.230815+00:00,,,202604160815,411.0,laramoreschi,0,0,True,378719
